time,latitude,longitude,mag,place,type,satellite
2018-10-15,40.0422,45.0858,null,null,fire,Aqua
2018-10-15,40.0543,45.1257,null,null,fire,Aqua
2018-10-15,40.0412,45.0795,null,null,fire,Aqua
2018-10-15,40.0552,45.1328,null,null,fire,Aqua
2018-10-16,40.485,44.9357,null,null,fire,Terra
2018-10-16,40.1125,45.0997,null,null,fire,Terra
2018-10-16,40.0433,45.789,null,null,fire,Aqua
2018-10-16,40.4732,44.9251,null,null,fire,Aqua
2018-10-16,40.1095,45.0913,null,null,fire,Aqua
2018-10-16,40.4827,44.9219,null,null,fire,Aqua
2018-10-16,40.4069,45.0247,null,null,fire,Aqua
2018-10-16,40.4318,44.747,null,null,fire,Aqua
2018-10-16,40.4851,44.9356,null,null,fire,Aqua
2018-10-17,39.9801,45.1685,null,null,fire,Aqua
2018-10-17,39.9678,45.1697,null,null,fire,Aqua
2018-10-17,39.611,46.0477,null,null,fire,Aqua
2018-10-17,40.4874,44.8811,null,null,fire,Aqua
2018-10-17,39.9697,45.1928,null,null,fire,Aqua
2018-10-17,40.6136,45.1596,null,null,fire,Aqua
2018-10-17,39.6091,46.0432,null,null,fire,Aqua
2018-10-18,40.4966,44.822,null,null,fire,Terra
2018-10-18,40.2502,45.036,null,null,fire,Terra
2018-10-18,40.0089,45.5011,null,null,fire,Terra
2018-10-18,40.4984,44.8104,null,null,fire,Terra
2018-10-18,40.0071,45.5127,null,null,fire,Terra
2018-10-18,39.5867,45.8291,null,null,fire,Aqua
2018-10-18,40.1681,45.0507,null,null,fire,Aqua
2018-10-18,40.157,45.0545,null,null,fire,Aqua
2018-10-18,40.1666,45.0382,null,null,fire,Aqua
2018-10-18,40.1555,45.0426,null,null,fire,Aqua
2018-10-18,40.1591,45.0604,null,null,fire,Aqua
2018-10-18,40.0499,45.1584,null,null,fire,Aqua
2018-10-18,40.0387,45.162,null,null,fire,Aqua
2018-10-18,40.0428,45.1817,null,null,fire,Aqua
2018-10-18,40.4597,43.6458,null,null,fire,Aqua
2018-10-18,40.0027,45.5085,null,null,fire,Aqua
2018-10-18,39.5909,46.0957,null,null,fire,Aqua
2018-10-18,40.0136,45.5049,null,null,fire,Aqua
2018-10-18,40.4124,44.8122,null,null,fire,Aqua
2018-10-18,39.5756,45.8314,null,null,fire,Aqua
2018-10-18,39.9445,45.2602,null,null,fire,Terra
2018-10-18,39.943,45.2486,null,null,fire,Terra
2018-10-19,40.4342,44.8942,null,null,fire,Terra
2018-10-19,40.4387,44.8908,null,null,fire,Terra
2018-10-19,40.0552,45.4506,null,null,fire,Terra
2018-10-19,40.047,45.4525,null,null,fire,Terra
2018-10-19,40.0454,45.488,null,null,fire,Terra
2018-10-19,39.992,45.1951,null,null,fire,Terra
2018-10-19,39.9842,45.1843,null,null,fire,Terra
2018-10-19,39.991,45.2095,null,null,fire,Aqua
2018-10-19,40.4401,44.9413,null,null,fire,Aqua
2018-10-19,40.4452,44.894,null,null,fire,Aqua
2018-10-19,40.4436,44.8792,null,null,fire,Aqua
